exact_date,stop_name,arrival_time,departure_time,trip_headsign,trip_id
2026-05-01,Mazantigade v Kolding Busterminal,10:31:00,10:33:00,Højhusene (Kolding),158209936
2026-05-01,Mazantigade v Kolding Busterminal,10:33:00,10:33:00,Knud Hansens Vej (Kolding),158214771
2026-05-01,Mazantigade v Kolding Busterminal,10:38:00,10:38:00,Ankerhusvej v Dalbygårdsvej (Kolding),158212799
2026-05-01,Kolding Busterminal,10:38:00,10:38:00,Kolding Busterminal,158208797
2026-05-01,Mazantigade v Kolding Busterminal,10:39:00,10:39:00,Munkevænget v Munkevængets Skole,158212857
2026-05-01,Kolding Busterminal,10:42:00,10:42:00,Kolding Busterminal,158208195
2026-05-01,Mazantigade v Kolding Busterminal,10:41:00,10:43:00,Albuen 40 (Kolding),158210054
2026-05-01,Kolding Busterminal,10:43:00,10:43:00,Kolding Busterminal,158206981
2026-05-01,Mazantigade v Kolding Busterminal,10:45:00,10:45:00,Knud Hansens Vej (Kolding),158212500
2026-05-01,Mazantigade v Kolding Busterminal,10:43:00,10:45:00,Knud Hansens Vej (Kolding),158214771
2026-05-01,Kolding Busterminal,10:45:00,10:45:00,Vejle Trafikcenter,158206881
2026-05-01,Mazantigade v Kolding Busterminal,10:46:00,10:46:00,Nørregyde v Julivænget (Kolding),158212404
2026-05-01,Mazantigade v Kolding Busterminal,10:46:00,10:48:00,Højhusene (Kolding),158209922
2026-05-01,Kolding Busterminal,10:53:00,10:55:00,Vejle Trafikcenter,158206881
2026-05-01,Mazantigade v Kolding Busterminal,10:56:00,10:58:00,Albuen 40 (Kolding),158210087
2026-05-01,Mazantigade v Kolding Busterminal,10:59:00,10:59:00,Mazantigade v Kolding Busterminal,158214673
2026-05-01,Mazantigade v Kolding Busterminal,11:00:00,11:00:00,Knud Hansens Vej (Kolding),158212502
2026-05-01,Mazantigade v Kolding Busterminal,11:00:00,11:00:00,Drejensvej v Agerøvej (Kolding),158213733
2026-05-01,Mazantigade v Kolding Busterminal,11:01:00,11:01:00,Nørregyde v Julivænget (Kolding),158212384
2026-05-01,Mazantigade v Kolding Busterminal,11:02:00,11:02:00,"Vonsild, Lykkeshave v Christiansmindeallé",158213782
2026-05-01,Kolding Busterminal,11:02:00,11:02:00,Kolding Busterminal,158215162
2026-05-01,Mazantigade v Kolding Busterminal,11:01:00,11:03:00,Højhusene (Kolding),158209909
2026-05-01,Mazantigade v Kolding Busterminal,11:03:00,11:03:00,Knud Hansens Vej (Kolding),158214794
2026-05-01,Kolding Busterminal,11:05:00,11:05:00,Haderslev Busstation,158208175
2026-05-01,Mazantigade v Kolding Busterminal,11:08:00,11:08:00,Ankerhusvej v Dalbygårdsvej (Kolding),158212798
2026-05-01,Mazantigade v Kolding Busterminal,11:09:00,11:09:00,Munkevænget v Munkevængets Skole,158212876
2026-05-01,Kolding Busterminal,11:08:00,11:10:00,Sønderborg,158216069
2026-05-01,Kolding Busterminal,11:11:00,11:11:00,Kolding Busterminal,158206791
2026-05-01,Mazantigade v Kolding Busterminal,11:11:00,11:13:00,Albuen 40 (Kolding),158210078
2026-05-01,Mazantigade v Kolding Busterminal,11:15:00,11:15:00,Knud Hansens Vej (Kolding),158212523
2026-05-01,Mazantigade v Kolding Busterminal,11:13:00,11:15:00,Knud Hansens Vej (Kolding),158214794
2026-05-01,Mazantigade v Kolding Busterminal,11:16:00,11:16:00,Nørregyde v Julivænget (Kolding),158212411
2026-05-01,Mazantigade v Kolding Busterminal,11:16:00,11:18:00,Højhusene (Kolding),158209931
2026-05-01,Kolding Busterminal,11:20:00,11:20:00,Bramdrupdam,158215222
2026-05-01,Kolding Busterminal,11:20:00,11:20:00,Billund Lufthavn / Billund Airport (bus),158208823
2026-05-01,Mazantigade v Kolding Busterminal,11:26:00,11:28:00,Albuen 40 (Kolding),158210096
2026-05-01,Mazantigade v Kolding Busterminal,11:29:00,11:29:00,Mazantigade v Kolding Busterminal,158214698
2026-05-01,Mazantigade v Kolding Busterminal,11:30:00,11:30:00,Knud Hansens Vej (Kolding),158212529
2026-05-01,Kolding Busterminal,11:30:00,11:30:00,Nordager v Vejlevej (Kolding),158206800
2026-05-01,Mazantigade v Kolding Busterminal,11:30:00,11:30:00,Drejensvej v Agerøvej (Kolding),158213726
2026-05-01,Mazantigade v Kolding Busterminal,11:31:00,11:31:00,Nørregyde v Julivænget (Kolding),158212355
2026-05-01,Mazantigade v Kolding Busterminal,11:32:00,11:32:00,"Vonsild, Lykkeshave v Christiansmindeallé",158213794
2026-05-01,Mazantigade v Kolding Busterminal,11:31:00,11:33:00,Højhusene (Kolding),158209953
