event_category,event_start,event_end,event_datetime,Time,Event URL
Ekskursion,2026-05-03,2026-05-03,2026-05-03 10:30:00,10:30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19839632
Ekskursion,2026-05-03,2026-05-03,2026-05-03 13:30:00,13:30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19862200
Fodboldtræning,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19827189
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19706435
Tegnefilm/Animation,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906585
Tegnefilm/Animation,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19923284
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19631170
"Ketchersport, Børn",2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19827241
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 10:15:00,10.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19694571
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19631445
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19631468
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19631778
Unknown,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19712566
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19764025
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19839357
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19631586
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19631291
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19692227
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728320
Gudstjeneste,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728523
Tegnefilm/Animation,2026-05-03,2026-05-03,2026-05-03 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19920901
Action/Drama,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19920893
Action/Drama,2026-05-03,2026-05-03,2026-05-03 12:10:00,12.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19888080
Action/Drama,2026-05-03,2026-05-03,2026-05-03 12:20:00,12.20,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906017
Omvisning,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19700812
Fodboldkamp,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19825742
Komedie/Romantik,2026-05-03,2026-05-03,2026-05-03 13:50:00,13.50,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906788
Tegnefilm/Animation,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890748
Andre Film,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19733019
Komedie/Romantik,2026-05-03,2026-05-03,2026-05-03 15:40:00,15.40,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19870629
Andre Film,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890757
Thriller/Gyser,2026-05-03,2026-05-03,2026-05-03 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19766768
